"sid","fail","est","se","icc","identL","identU","identC","identR","identEL","identER","logitL","logitU","logitC","logitR","logitEL","logitER"
1227,0,0.55937198666022,0.0372349348522007,0.0655855482114235,0.483099680184691,0.635644293135749,0.9538,0.3362,0.0242,0.022,0.482300927800772,0.633644396278828,0.957,0.3248,0.021,0.022
1228,0,0.559555896555371,0.0371926973167315,0.0645892160397736,0.483370109749149,0.635741683361596,0.9474,0.3462,0.028,0.0246,0.482571130525248,0.633742777585075,0.9516,0.3314,0.0236,0.0248
1229,0,0.559814625572465,0.0395451049977214,0.0548966550919238,0.47881015007209,0.640819101072841,0.957,0.3062,0.0226,0.0204,0.477939283802777,0.638514592402553,0.9602,0.294,0.0192,0.0206
1230,0,0.559890139076319,0.0395499556845689,0.0544599529698291,0.47887572739436,0.640904550758272,0.9496,0.3128,0.0268,0.0236,0.478005472557082,0.638599937073917,0.9526,0.3,0.0238,0.0236
1231,0,0.559530653247745,0.0281261985241908,0.0811338379190968,0.501916747319243,0.617144559176251,0.956,0.5296,0.0212,0.0228,0.501371804824023,0.616077175934403,0.9582,0.522,0.019,0.0228
1232,0,0.560221484489504,0.028009490454233,0.0797628571972429,0.502846644205007,0.617596324774,0.9548,0.5364,0.0244,0.0208,0.50229439477265,0.616529086971979,0.9558,0.528,0.0228,0.0214
1233,0,0.559718144407201,0.0291313123762909,0.0651821815535328,0.50004535608574,0.619390932728664,0.9498,0.4934,0.0254,0.0248,0.49946506351382,0.618231412978985,0.9522,0.4828,0.022,0.0258
1234,0,0.559738695607915,0.0289628637908652,0.0637846063211541,0.500410958571862,0.619066432643964,0.9504,0.5064,0.025,0.0246,0.499837455546964,0.617922056035418,0.9518,0.4942,0.023,0.0252
1235,0,0.559746747155186,0.029995901411492,0.0535495925834833,0.4983029284793,0.621190565831072,0.9486,0.4834,0.0246,0.0268,0.497702155963359,0.619956986362345,0.9506,0.4742,0.0224,0.027
1236,0,0.55984783844069,0.0302120449539221,0.0542106353875146,0.497961269788838,0.621734407092545,0.9496,0.4704,0.026,0.0244,0.497350774206284,0.620478302955807,0.9508,0.464,0.0248,0.0244
1237,0,0.559933971930866,0.0270163606555505,0.0807172170348684,0.505613938172302,0.614254005689423,0.9522,0.5884,0.0242,0.0236,0.505109183552523,0.613319347164335,0.9524,0.5826,0.023,0.0246
1238,0,0.560333575048225,0.026920384675751,0.0788966575065735,0.506206513930546,0.614460636165906,0.9474,0.5898,0.0288,0.0238,0.505700414874579,0.613529701422755,0.949,0.5848,0.0264,0.0246
